    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
        1.00      0.0032       90.00        1.00      0.0016       90.00        1.00      0.0017       90.00        1.00      0.0016       90.00        1.00      0.0032       90.00        1.00      0.0017       90.00        1.00      0.0017       90.00        1.00      0.0017       90.00        1.00      0.0033       90.00
        2.00      0.0069       90.00        2.00      0.0038       90.00        2.00      0.0039       90.00        2.00      0.0038       90.00        2.00      0.0072       90.00        2.00      0.0040       90.00        2.00      0.0039       90.00        2.00      0.0040       90.00        2.00      0.0074       90.00
        3.00      0.0123       90.00        3.00      0.0077       90.00        3.00      0.0081       89.99        3.00      0.0077       90.00        3.00      0.0133       90.00        3.00      0.0085       89.99        3.00      0.0081       89.99        3.00      0.0085       89.99        3.00      0.0144       90.00
        4.00      0.0246       89.99        4.00      0.0195       89.99        4.00      0.0215       89.99        4.00      0.0195       89.99        4.00      0.0287       89.99        4.00      0.0235       89.99        4.00      0.0215       89.99        4.00      0.0235       89.99        4.00      0.0341       89.99
        5.00      0.1740      -89.92        5.00      0.2129      -89.92        5.00      0.2546      -89.92        5.00      0.2129      -89.92        5.00      0.2373      -89.92        5.00      0.2963      -89.92        5.00      0.2546      -89.92        5.00      0.2963      -89.92        5.00      0.3418      -89.92
        6.00      0.0039      -89.97        6.00      0.0196      -89.99        6.00      0.0270      -89.99        6.00      0.0196      -89.99        6.00      0.0103      -89.98        6.00      0.0345      -90.00        6.00      0.0270      -89.99        6.00      0.0345      -90.00        6.00      0.0274      -89.99
        7.00      0.0079       89.99        7.00      0.0097      -90.00        7.00      0.0182      -90.00        7.00      0.0097      -90.00        7.00      0.0071       89.99        7.00      0.0268      -90.00        7.00      0.0182      -90.00        7.00      0.0268      -90.00        7.00      0.0103      -89.99
        8.00      0.0170       90.00        8.00      0.0026      -89.98        8.00      0.0182      -90.00        8.00      0.0026      -89.98        8.00      0.0293       89.99        8.00      0.0338      -90.00        8.00      0.0182      -90.00        8.00      0.0338      -90.00        8.00      0.0022       89.97
        9.00      0.0401       89.99        9.00      0.0496       89.98        9.00      0.0499      -90.01        9.00      0.0496       89.98        9.00      0.2188       89.98        9.00      0.1494      -90.02        9.00      0.0499      -90.01        9.00      0.1494      -90.02        9.00      0.0795       89.98
       10.00      0.0302       90.00       10.00      0.0328      -90.00       10.00      0.0009       90.06       10.00      0.0328      -90.00       10.00      0.0682      -90.00       10.00      0.0345       90.01       10.00      0.0009       90.06       10.00      0.0345       90.01       10.00      0.0336      -90.00
       11.00      0.0563       90.00       11.00      0.0278      -90.00       11.00      0.0068      -90.00       11.00      0.0278      -90.00       11.00      0.0312      -90.00       11.00      0.0142       90.00       11.00      0.0068      -90.00       11.00      0.0142       90.00       11.00      0.0184      -90.00
       12.00      0.1243       90.00       12.00      0.0407      -90.00       12.00      0.0151      -90.00       12.00      0.0407      -90.00       12.00      0.0168      -90.00       12.00      0.0104       90.00       12.00      0.0151      -90.00       12.00      0.0104       90.00       12.00      0.0128      -90.00
       13.00      5.4354       89.89       13.00      1.3204      -90.11       13.00      0.5872      -90.11       13.00      1.3204      -90.11       13.00      0.2976       89.88       13.00      0.1459       89.89       13.00      0.5872      -90.11       13.00      0.1459       89.89       13.00      0.0513       89.86
       14.00      0.1507      -90.00       14.00      0.0288       90.00       14.00      0.0142       90.00       14.00      0.0288       90.00       14.00      0.0245      -90.00       14.00      0.0005      -89.99       14.00      0.0142       90.00       14.00      0.0005      -89.99       14.00      0.0118      -90.00
       15.00      0.0783      -90.00       15.00      0.0122       90.00       15.00      0.0064       90.00       15.00      0.0122       90.00       15.00      0.0182      -90.00       15.00      0.0006       90.00       15.00      0.0064       90.00       15.00      0.0006       90.00       15.00      0.0098      -90.00
       16.00      0.0543      -90.00       16.00      0.0071       90.00       16.00      0.0039       90.00       16.00      0.0071       90.00       16.00      0.0152      -90.00       16.00      0.0007       90.00       16.00      0.0039       90.00       16.00      0.0007       90.00       16.00      0.0086      -90.00
       17.00      0.0422      -90.00       17.00      0.0047       90.00       17.00      0.0027       90.00       17.00      0.0047       90.00       17.00      0.0133      -90.00       17.00      0.0006       90.00       17.00      0.0027       90.00       17.00      0.0006       90.00       17.00      0.0078      -90.00
       18.00      0.0349      -90.00       18.00      0.0034       90.00       18.00      0.0019       90.00       18.00      0.0034       90.00       18.00      0.0119      -90.00       18.00      0.0005       90.00       18.00      0.0019       90.00       18.00      0.0005       90.00       18.00      0.0071      -90.00
       19.00      0.0299      -90.00       19.00      0.0025       90.00       19.00      0.0015       90.00       19.00      0.0025       90.00       19.00      0.0109      -90.00       19.00      0.0005       90.00       19.00      0.0015       90.00       19.00      0.0005       90.00       19.00      0.0066      -90.00
       20.00      0.0263      -90.00       20.00      0.0020       90.00       20.00      0.0012       90.00       20.00      0.0020       90.00       20.00      0.0100      -90.00       20.00      0.0004       90.00       20.00      0.0012       90.00       20.00      0.0004       90.00       20.00      0.0062      -90.00
       21.00      0.0236      -90.00       21.00      0.0016       90.00       21.00      0.0010       90.00       21.00      0.0016       90.00       21.00      0.0093      -90.00       21.00      0.0003       90.00       21.00      0.0010       90.00       21.00      0.0003       90.00       21.00      0.0058      -90.00
       22.00      0.0214      -90.00       22.00      0.0013       90.00       22.00      0.0008       90.00       22.00      0.0013       90.00       22.00      0.0087      -90.00       22.00      0.0003       90.00       22.00      0.0008       90.00       22.00      0.0003       90.00       22.00      0.0054      -90.00
       23.00      0.0196      -90.00       23.00      0.0011       90.00       23.00      0.0007       90.00       23.00      0.0011       90.00       23.00      0.0082      -90.00       23.00      0.0003       90.00       23.00      0.0007       90.00       23.00      0.0003       90.00       23.00      0.0051      -90.00
       24.00      0.0182      -90.00       24.00      0.0009       90.00       24.00      0.0006       90.00       24.00      0.0009       90.00       24.00      0.0077      -90.00       24.00      0.0002       90.00       24.00      0.0006       90.00       24.00      0.0002       90.00       24.00      0.0049      -90.00
       25.00      0.0170      -90.00       25.00      0.0008       90.00       25.00      0.0005       90.00       25.00      0.0008       90.00       25.00      0.0073      -90.00       25.00      0.0002       90.00       25.00      0.0005       90.00       25.00      0.0002       90.00       25.00      0.0046      -90.00
       26.00      0.0159      -90.00       26.00      0.0007       90.00       26.00      0.0004       90.00       26.00      0.0007       90.00       26.00      0.0069      -90.00       26.00      0.0002       90.00       26.00      0.0004       90.00       26.00      0.0002       90.00       26.00      0.0044      -90.00
       27.00      0.0150      -90.00       27.00      0.0006       90.00       27.00      0.0004       90.00       27.00      0.0006       90.00       27.00      0.0066      -90.00       27.00      0.0002       90.00       27.00      0.0004       90.00       27.00      0.0002       90.00       27.00      0.0042      -90.00
       28.00      0.0142      -90.00       28.00      0.0005       90.00       28.00      0.0003       90.00       28.00      0.0005       90.00       28.00      0.0063      -90.00       28.00      0.0001       90.00       28.00      0.0003       90.00       28.00      0.0001       90.00       28.00      0.0041      -90.00
       29.00      0.0134      -90.00       29.00      0.0004       90.00       29.00      0.0003       90.00       29.00      0.0004       90.00       29.00      0.0061      -90.00       29.00      0.0001       90.00       29.00      0.0003       90.00       29.00      0.0001       90.00       29.00      0.0039      -90.00
