    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
        1.00      0.0005       -0.00        1.00      0.0003       -0.00        1.00      0.0003       -0.00        1.00      0.0003       -0.00        1.00      0.0005       -0.00        1.00      0.0003       -0.00        1.00      0.0003       -0.00        1.00      0.0003       -0.00        1.00      0.0005       -0.00
        2.00      0.0006       -0.00        2.00      0.0003       -0.00        2.00      0.0003       -0.00        2.00      0.0003       -0.00        2.00      0.0006       -0.00        2.00      0.0003       -0.00        2.00      0.0003       -0.00        2.00      0.0003       -0.00        2.00      0.0006       -0.00
        3.00      0.0007       -0.00        3.00      0.0004       -0.00        3.00      0.0004       -0.01        3.00      0.0004       -0.00        3.00      0.0007       -0.00        3.00      0.0005       -0.01        3.00      0.0004       -0.01        3.00      0.0005       -0.01        3.00      0.0008       -0.00
        4.00      0.0010       -0.01        4.00      0.0008       -0.01        4.00      0.0009       -0.01        4.00      0.0008       -0.01        4.00      0.0011       -0.01        4.00      0.0009       -0.01        4.00      0.0009       -0.01        4.00      0.0009       -0.01        4.00      0.0014       -0.01
        5.00      0.0055     -179.92        5.00      0.0068     -179.92        5.00      0.0081     -179.92        5.00      0.0068     -179.92        5.00      0.0076     -179.92        5.00      0.0094     -179.92        5.00      0.0081     -179.92        5.00      0.0094     -179.92        5.00      0.0109     -179.92
        6.00      0.0001     -179.97        6.00      0.0005     -179.99        6.00      0.0007     -179.99        6.00      0.0005     -179.99        6.00      0.0003     -179.98        6.00      0.0009     -180.00        6.00      0.0007     -179.99        6.00      0.0009     -180.00        6.00      0.0007     -179.99
        7.00      0.0002       -0.01        7.00      0.0002     -180.00        7.00      0.0004     -180.00        7.00      0.0002     -180.00        7.00      0.0002       -0.01        7.00      0.0006     -180.00        7.00      0.0004     -180.00        7.00      0.0006     -180.00        7.00      0.0002     -179.99
        8.00      0.0003       -0.00        8.00      0.0001     -179.98        8.00      0.0004      180.00        8.00      0.0001     -179.98        8.00      0.0006       -0.01        8.00      0.0007      180.00        8.00      0.0004      180.00        8.00      0.0007      180.00        8.00      0.0000       -0.03
        9.00      0.0007       -0.01        9.00      0.0009       -0.02        9.00      0.0009      179.99        9.00      0.0009       -0.02        9.00      0.0039       -0.02        9.00      0.0026      179.98        9.00      0.0009      179.99        9.00      0.0026      179.98        9.00      0.0014       -0.02
       10.00      0.0005       -0.00       10.00      0.0005     -180.00       10.00      0.0000        0.06       10.00      0.0005     -180.00       10.00      0.0011     -180.00       10.00      0.0005        0.01       10.00      0.0000        0.06       10.00      0.0005        0.01       10.00      0.0005     -180.00
