       cycle       range        mean       equiv           N           D
        0.50       24.50       46.50       24.78    1.77E+10    2.82E-11
        1.00       29.50       93.50       30.90    4.71E+09    2.12E-10
        1.00       30.50      175.50       36.27    1.80E+09    5.55E-10
        0.50       30.50      175.50       36.27    1.80E+09    2.78E-10
        0.50       30.50      175.50       36.27    1.80E+09    2.78E-10
        0.50       30.50      175.50       36.27    1.80E+09    2.78E-10
        1.00       42.00       42.00       42.39    7.07E+08    1.41E-09
        0.50       88.00       88.00       91.67    6.91E+06    7.24E-08
        1.00       40.00      -40.00       40.33    9.52E+08    1.05E-09
        0.50       40.00      -40.00       40.33    9.52E+08    5.25E-10
        0.50       40.00      -40.00       40.33    9.52E+08    5.25E-10
        0.50       40.00      -40.00       40.33    9.52E+08    5.25E-10
        0.50      153.50       73.50      157.91    2.64E+05    1.89E-06
        1.00       58.50       19.50       58.62    1.01E+08    9.89E-09
        1.00       60.00      -60.00       61.14    7.85E+07    1.27E-08
        1.00       40.50      -79.50       41.87    7.61E+08    1.31E-09
        0.50       60.00      -60.00       61.14    7.85E+07    6.37E-09

Total damage:     2.00E-06

Nb, blocks:     5.00E+05
