Frequency  Magnitude  Phase
      0.0000 1.89814e-07       90.00
      0.1592 5.82037e-07      -30.86
      0.3185 1.29526e-06       97.64
      0.4777 2.48909e-06     -116.83
      0.6369 2.84309e-06       36.76
      0.7962 1.02476e-06     -159.89
      0.9554 1.55345e-06     -110.29
      1.1146 2.88817e-06       97.52
      1.2739 2.55416e-06      -87.76
      1.4331 1.57076e-06       16.37
      1.5923 2.28984e-06      131.67
      1.7516 2.61641e-06      -63.91
      1.9108 1.60609e-06      153.61
      2.0700 1.40344e-06       44.87
      2.2293 6.49826e-07     -132.55
      2.3885 1.01907e-06       33.61
      2.5477 2.06232e-06     -108.39
      2.7070 1.61807e-06       80.46
      2.8662 5.22362e-07      136.69
      3.0254  8.5517e-07      -28.57
      3.1847 1.85333e-06     -151.49
      3.3439 1.57356e-06       35.31
      3.5031 8.27514e-07      -94.00
      3.6624 8.85113e-07       86.27
      3.8216 1.44131e-06     -166.02
      3.9808 2.38951e-06        6.38
      4.1401 1.35009e-06     -155.59
      4.2993 7.20194e-07      112.62
      4.4585 7.15967e-07      -58.80
      4.6178 9.19469e-07     -161.69
      4.7770 2.26421e-06       23.74
      4.9362 2.25474e-06     -136.85
      5.0955  2.0432e-06       94.81
      5.2547 1.67029e-06       -9.80
      5.4139 2.72025e-06     -149.29
      5.5732 1.66802e-06       14.16
      5.7324 1.27293e-06       50.36
      5.8916 2.72281e-06     -159.03
      6.0509 9.02896e-07      -17.09
      6.2101  1.1685e-06       67.06
      6.3693 8.28705e-07      -25.70
      6.5286 5.35434e-07      173.76
      6.6878 3.79596e-07     -126.80
      6.8470  1.2205e-06     -170.25
      7.0063 1.88003e-06        3.01
      7.1655 1.10619e-06      156.90
      7.3247 3.02017e-07     -117.26
      7.4840 1.18129e-06      -19.40
      7.6432 1.26275e-06       52.90
      7.8024 2.54155e-06     -160.81
      7.9617 5.35952e-07       69.43
      8.1209 1.86728e-06        8.57
      8.2801 6.97546e-07     -125.54
      8.4394 1.01848e-06     -175.81
      8.5986 3.27848e-07     -100.55
      8.7578 9.74952e-07        1.91
      8.9171 6.70839e-07      109.99
      9.0763 1.23951e-06      163.14
      9.2355  1.5961e-06      -62.76
      9.3948 1.20882e-06       37.62
      9.5540 1.45436e-06      115.36
      9.7132 1.78465e-06     -123.27
      9.8725  1.4159e-06      -20.52
     10.0317 1.30223e-06       93.87
     10.1909 1.41821e-06     -142.05
     10.3502 4.87466e-07      -41.30
     10.5094 1.13173e-06       80.65
     10.6686 1.24268e-06       -5.25
     10.8279 1.65649e-06     -179.08
     10.9871 1.02317e-06      -27.02
     11.1463  1.1664e-06     -138.00
     11.3056 1.07576e-06       16.13
     11.4648 1.46444e-06      101.77
     11.6240 6.78999e-07     -119.54
     11.7833 1.46099e-06      -86.86
     11.9425 2.27394e-06       99.84
     12.1017 1.05371e-06      -49.53
     12.2610 8.89034e-07     -150.00
     12.4202 7.30533e-07       -9.73
     12.5794 5.49349e-07       64.58
     12.7387  5.6394e-07      139.51
     12.8979 1.05333e-06     -128.77
     13.0571 1.22996e-06       -5.69
     13.2164 2.70558e-07      162.00
     13.3756 1.23351e-06     -163.01
     13.5348 2.31122e-06       53.14
     13.6940 2.69012e-06     -119.43
     13.8533 2.40094e-06       58.74
     14.0125 9.90466e-07     -103.95
     14.1717 2.08172e-07      -74.54
