

---------------------S U M M A R Y------------------------------------

delta: 8.53946e-11
alpha: 1e-16

           s      Square       Exact
    0.012195    0.014090    0.014071
    0.036585    0.051417    0.051502
    0.060976    0.103920    0.103789
    0.085366    0.173223    0.173337
    0.109756    0.261284    0.261232
    0.134146    0.366574    0.366462
    0.158537    0.485277    0.485302
    0.182927    0.610934    0.611084
    0.207317    0.734290    0.734553
    0.231707    0.844738    0.844886
    0.256098    0.931658    0.931259
    0.280488    0.985565    0.984707
    0.304878    1.000278    0.999868
    0.329268    0.975414    0.976192
    0.353659    0.916939    0.918332
    0.378049    0.834975    0.835600
    0.402439    0.741466    0.740610
    0.426829    0.648895    0.647419
    0.451220    0.570005    0.569500
    0.475610    0.516986    0.517913
    0.500000    0.498836    0.499881
    0.524390    0.518070    0.517913
    0.548780    0.570442    0.569500
    0.573171    0.647769    0.647419
    0.597561    0.739908    0.740610
    0.621951    0.834824    0.835600
    0.646341    0.918653    0.918332
    0.670732    0.977343    0.976192
    0.695122    1.000301    0.999868
    0.719512    0.983754    0.984707
    0.743902    0.930101    0.931259
    0.768293    0.844872    0.844886
    0.792683    0.735342    0.734553
    0.817073    0.611654    0.611084
    0.841463    0.485433    0.485302
    0.865854    0.366282    0.366462
    0.890244    0.260702    0.261232
    0.914634    0.173126    0.173337
    0.939024    0.104455    0.103789
    0.963415    0.051206    0.051502
    0.987805    0.014110    0.014071
