         Lug        COV(11)        COV(12)        COV(21)        COV(22)
           0           1.00           1.00           1.00           1.00
           1          -0.39          -0.39          -0.39          -0.39
           2           0.30           0.30           0.30           0.30
           3          -0.17          -0.16          -0.17          -0.16
           4           0.07           0.07           0.07           0.07
           5          -0.10          -0.09          -0.10          -0.09
           6          -0.05          -0.05          -0.05          -0.05
           7           0.03           0.03           0.03           0.03
           8          -0.05          -0.05          -0.05          -0.06
           9          -0.01          -0.01          -0.00          -0.01
          10           0.02           0.01           0.01           0.01
          11           0.11           0.11           0.12           0.12
          12          -0.06          -0.07          -0.07          -0.07
          13           0.14           0.15           0.14           0.15
          14           0.04           0.04           0.03           0.03
          15          -0.01          -0.01          -0.01          -0.00
          16           0.18           0.18           0.18           0.18
          17          -0.11          -0.11          -0.12          -0.11
          18           0.02           0.02           0.02           0.02
          19          -0.05          -0.05          -0.06          -0.05
          20           0.02           0.03           0.02           0.02
          21           0.02           0.01           0.01           0.01
          22          -0.07          -0.07          -0.07          -0.07
          23          -0.02          -0.02          -0.02          -0.02
          24          -0.07          -0.07          -0.06          -0.06
          25          -0.02          -0.03          -0.02          -0.03
          26           0.05           0.05           0.05           0.05
          27          -0.02          -0.03          -0.02          -0.02
          28           0.09           0.09           0.09           0.09
          29           0.02           0.01           0.02           0.01
          30           0.01           0.01           0.00           0.00
          31           0.00           0.01           0.01           0.01
          32          -0.02          -0.03          -0.02          -0.02
          33          -0.03          -0.02          -0.04          -0.03
          34          -0.06          -0.07          -0.06          -0.07
          35           0.03           0.03           0.03           0.03
          36          -0.06          -0.06          -0.06          -0.06
          37          -0.05          -0.05          -0.05          -0.05
          38          -0.05          -0.05          -0.05          -0.05
          39           0.01           0.01           0.01           0.01
          40          -0.09          -0.09          -0.09          -0.09
          41           0.03           0.03           0.03           0.03
          42           0.07           0.07           0.07           0.07
          43          -0.09          -0.09          -0.09          -0.09
          44           0.15           0.15           0.15           0.15
          45          -0.17          -0.17          -0.17          -0.17
          46           0.12           0.12           0.13           0.13
          47          -0.13          -0.13          -0.13          -0.13
          48           0.04           0.04           0.04           0.04
          49          -0.03          -0.03          -0.03          -0.03
          50          -0.07          -0.08          -0.07          -0.07
          51           0.06           0.06           0.06           0.06
          52          -0.05          -0.05          -0.05          -0.05
          53          -0.05          -0.05          -0.05          -0.05
          54          -0.01          -0.01          -0.01          -0.01
          55           0.08           0.08           0.08           0.08
          56          -0.10          -0.10          -0.10          -0.10
          57           0.10           0.10           0.10           0.10
          58          -0.04          -0.04          -0.04          -0.04
          59          -0.01          -0.01          -0.01          -0.01
          60           0.03           0.03           0.03           0.03
          61          -0.10          -0.10          -0.10          -0.10
          62           0.12           0.12           0.12           0.12
          63          -0.08          -0.08          -0.08          -0.08
          64           0.02           0.02           0.02           0.02
          65           0.01           0.01           0.01           0.01
          66          -0.05          -0.05          -0.05          -0.05
          67           0.08           0.08           0.08           0.08
          68          -0.04          -0.04          -0.04          -0.04
          69           0.01           0.01           0.01           0.01
