         Lug        COV(11)        COV(12)        COV(21)        COV(22)
           0         140.64         140.37         140.37         140.24
           1         -54.61         -54.34         -54.49         -54.22
           2          42.66          42.60          42.02          41.95
           3         -23.68         -22.72         -23.57         -22.61
           4          10.16          10.35          10.03          10.22
           5         -13.65         -12.81         -13.49         -12.66
           6          -6.72          -6.79          -6.98          -7.05
           7           3.91           4.23           4.16           4.48
           8          -6.58          -7.72          -6.64          -7.78
           9          -0.97          -1.25          -0.50          -0.79
          10           2.16           2.10           1.86           1.79
          11          15.82          16.05          16.38          16.61
          12          -8.95          -9.27          -9.30          -9.62
          13          20.30          20.65          20.34          20.69
          14           5.37           5.28           4.80           4.72
          15          -1.13          -0.88          -0.75          -0.50
          16          24.98          24.94          25.15          25.10
          17         -15.99         -15.06         -16.41         -15.48
          18           3.21           2.56           3.31           2.66
          19          -7.66          -7.53          -7.74          -7.61
          20           2.99           4.18           2.28           3.47
          21           2.16           1.81           1.49           1.14
          22         -10.38         -10.14         -10.23          -9.99
          23          -2.57          -3.09          -2.81          -3.33
          24          -9.78          -9.62          -9.03          -8.87
          25          -2.92          -3.65          -3.45          -4.18
          26           6.75           7.56           6.73           7.54
          27          -3.40          -3.57          -2.99          -3.16
          28          12.88          13.18          12.38          12.68
          29           2.13           1.66           2.48           2.01
          30           0.91           1.04           0.45           0.58
          31           0.55           1.10           0.81           1.37
          32          -2.99          -3.60          -2.84          -3.45
          33          -3.94          -3.14          -5.12          -4.31
          34          -8.67          -9.92          -8.62          -9.88
          35           3.68           4.18           3.72           4.23
          36          -8.27          -8.49          -8.22          -8.44
          37          -6.71          -6.74          -6.66          -6.69
          38          -6.89          -6.92          -6.85          -6.87
          39           1.79           1.78           1.83           1.81
          40         -12.69         -12.71         -12.65         -12.67
          41           4.16           4.15           4.20           4.19
          42           9.54           9.52           9.58           9.56
          43         -12.77         -12.80         -12.73         -12.76
          44          20.89          20.86          20.93          20.89
          45         -23.25         -23.27         -23.21         -23.24
          46          17.56          17.53          17.61          17.57
          47         -18.56         -18.59         -18.52         -18.55
          48           6.22           6.19           6.27           6.24
          49          -4.06          -4.08          -4.01          -4.03
          50         -10.51         -10.53         -10.47         -10.49
          51           8.30           8.29           8.33           8.32
          52          -6.42          -6.43          -6.37          -6.39
          53          -7.36          -7.37          -7.31          -7.33
          54          -1.45          -1.44          -1.41          -1.41
          55          11.74          11.74          11.78          11.78
          56         -13.50         -13.50         -13.47         -13.47
          57          13.65          13.65          13.68          13.67
          58          -5.86          -5.86          -5.84          -5.84
          59          -1.05          -1.07          -1.04          -1.05
          60           3.52           3.52           3.53           3.53
          61         -13.37         -13.37         -13.34         -13.35
          62          16.29          16.30          16.31          16.31
          63         -11.16         -11.16         -11.14         -11.15
          64           2.20           2.19           2.22           2.22
          65           1.23           1.24           1.24           1.25
          66          -7.40          -7.40          -7.38          -7.38
          67          11.49          11.50          11.50          11.52
          68          -5.34          -5.34          -5.32          -5.33
          69           1.67           1.67           1.68           1.69
          70           0.00           0.00           0.00           0.00
