         Lug        COV(11)        COV(12)        COV(21)        COV(22)
           0           1.00           1.00           1.00           1.00
           1          -0.87          -0.87          -0.87          -0.87
           2           0.49           0.48           0.48           0.48
           3          -0.30          -0.29          -0.30          -0.29
           4           0.17           0.17           0.17           0.17
           5          -0.09          -0.09          -0.09          -0.09
           6          -0.01          -0.01          -0.01          -0.02
           7           0.06           0.07           0.07           0.07
           8          -0.05          -0.05          -0.05          -0.06
           9           0.01           0.01           0.01           0.01
          10          -0.03          -0.03          -0.04          -0.04
          11           0.11           0.12           0.12           0.12
          12          -0.16          -0.16          -0.16          -0.17
          13           0.13           0.14           0.13           0.14
          14          -0.03          -0.03          -0.03          -0.03
          15          -0.10          -0.10          -0.09          -0.09
          16           0.20           0.20           0.20           0.20
          17          -0.18          -0.17          -0.18          -0.18
          18           0.09           0.08           0.09           0.08
          19          -0.06          -0.07          -0.06          -0.06
          20           0.03           0.04           0.03           0.04
          21           0.03           0.03           0.03           0.03
          22          -0.06          -0.06          -0.06          -0.05
          23           0.04           0.04           0.04           0.04
          24          -0.04          -0.04          -0.04          -0.03
          25          -0.01          -0.02          -0.01          -0.02
          26           0.06           0.07           0.06           0.07
          27          -0.08          -0.08          -0.07          -0.08
          28           0.08           0.08           0.08           0.08
          29          -0.03          -0.03          -0.02          -0.03
          30          -0.00          -0.00          -0.01          -0.01
          31           0.01           0.01           0.01           0.02
          32          -0.01          -0.02          -0.00          -0.01
          33           0.01           0.02           0.00           0.01
          34          -0.05          -0.06          -0.05          -0.06
          35           0.07           0.08           0.07           0.08
          36          -0.04          -0.04          -0.04          -0.04
          37           0.01           0.01           0.01           0.01
          38          -0.03          -0.03          -0.03          -0.03
          39           0.07           0.07           0.07           0.07
          40          -0.09          -0.09          -0.09          -0.09
          41           0.03           0.03           0.03           0.03
          42           0.08           0.08           0.08           0.08
          43          -0.17          -0.17          -0.17          -0.17
          44           0.23           0.23           0.23           0.23
          45          -0.25          -0.25          -0.25          -0.25
          46           0.23           0.23           0.23           0.23
          47          -0.18          -0.18          -0.18          -0.18
          48           0.10           0.10           0.10           0.10
          49          -0.01          -0.01          -0.01          -0.01
          50          -0.08          -0.08          -0.08          -0.08
          51           0.10           0.10           0.10           0.10
          52          -0.04          -0.04          -0.04          -0.04
          53          -0.02          -0.02          -0.02          -0.02
          54          -0.02          -0.02          -0.02          -0.02
          55           0.11           0.11           0.11           0.11
          56          -0.16          -0.16          -0.16          -0.16
          57           0.14           0.14           0.14           0.14
          58          -0.07          -0.07          -0.07          -0.07
          59           0.00           0.00           0.00           0.00
          60           0.06           0.06           0.06           0.06
          61          -0.14          -0.14          -0.14          -0.14
          62           0.17           0.17           0.17           0.17
          63          -0.12          -0.12          -0.12          -0.12
          64           0.04           0.04           0.04           0.04
          65           0.02           0.02           0.02           0.02
          66          -0.08          -0.08          -0.08          -0.08
          67           0.11           0.11           0.11           0.11
          68          -0.07          -0.07          -0.07          -0.07
          69           0.03           0.03           0.03           0.03
