         Lug        COV(11)        COV(12)        COV(21)        COV(22)
           0         335.89         335.08         335.24         334.69
           1        -292.53        -291.65        -291.38        -290.63
           2         163.62         162.25         162.10         160.73
           3        -100.19         -98.38         -99.19         -97.38
           4          57.66          56.23          57.12          55.69
           5         -30.74         -29.19         -30.03         -28.48
           6          -3.69          -4.99          -4.63          -5.93
           7          21.12          22.97          21.94          23.79
           8         -16.11         -18.42         -16.94         -19.24
           9           2.49           3.11           3.78           4.41
          10         -10.53         -10.60         -12.17         -12.24
          11          38.43          39.28          40.21          41.06
          12         -54.02         -55.25         -55.32         -56.55
          13          44.18          45.29          45.17          46.29
          14          -8.42          -9.21          -9.98         -10.76
          15         -32.62         -31.98         -31.46         -30.82
          16          67.09          65.82          67.46          66.18
          17         -60.18         -57.61         -61.28         -58.71
          18          30.07          27.71          30.77          28.41
          19         -21.52         -21.80         -21.07         -21.35
          20          11.48          14.08          10.80          13.41
          21          11.72           9.58          10.94           8.81
          22         -20.36         -19.00         -19.15         -17.79
          23          15.02          13.58          13.64          12.20
          24         -14.08         -12.50         -11.79         -10.22
          25          -2.80          -5.24          -4.61          -7.05
          26          19.81          22.34          19.90          22.43
          27         -26.42         -27.87         -25.09         -26.54
          28          27.02          28.26          25.28          26.51
          29          -9.53         -10.89          -7.88          -9.24
          30          -0.85          -0.68          -2.39          -2.22
          31           3.17           4.76           4.01           5.61
          32          -2.58          -5.16          -1.37          -3.95
          33           3.77           7.24           1.22           4.70
          34         -17.06         -20.89         -15.84         -19.66
          35          24.29          26.78          24.28          26.77
          36         -13.51         -14.43         -13.50         -14.42
          37           1.75           1.94           1.74           1.93
          38          -8.87          -8.87          -8.85          -8.86
          39          23.16          23.18          23.15          23.17
          40         -31.33         -31.34         -31.33         -31.34
          41          11.47          11.49          11.47          11.49
          42          27.69          27.68          27.70          27.69
          43         -55.96         -55.97         -55.97         -55.97
          44          77.79          77.78          77.79          77.79
          45         -84.94         -84.93         -84.95         -84.94
          46          76.93          76.92          76.94          76.93
          47         -60.91         -60.90         -60.92         -60.91
          48          35.06          35.05          35.07          35.06
          49          -3.82          -3.81          -3.82          -3.82
          50         -25.26         -25.28         -25.25         -25.27
          51          33.52          33.54          33.50          33.53
          52         -13.77         -13.78         -13.77         -13.78
          53          -6.85          -6.87          -6.84          -6.86
          54          -7.28          -7.26          -7.29          -7.26
          55          38.44          38.43          38.44          38.43
          56         -52.40         -52.39         -52.39         -52.38
          57          46.67          46.66          46.66          46.65
          58         -24.31         -24.30         -24.32         -24.31
          59           0.23           0.21           0.24           0.21
          60          21.46          21.47          21.44          21.46
          61         -46.55         -46.55         -46.53         -46.54
          62          57.11          57.12          57.10          57.12
          63         -40.81         -40.81         -40.81         -40.82
          64          14.32          14.32          14.34          14.33
          65           7.66           7.67           7.64           7.66
          66         -27.51         -27.53         -27.50         -27.52
          67          35.72          35.75          35.71          35.74
          68         -23.83         -23.86         -23.83         -23.86
          69           8.67           8.68           8.69           8.70
