Frequency,Hz     point#1     point#2     point#3
        0.00        -nan        -nan        -nan
        5.001012623.5558      1.0009      1.0013
       10.004050520.0710      1.0035      1.0052
       15.009113767.9730      1.0079      1.0118
       20.0016202500.9777      1.0141      1.0212
       25.0025316912.8020      1.0223      1.0335
       30.0036457264.1950      1.0325      1.0489
       35.0049623892.7823      1.0449      1.0676
       40.0064817226.4431      1.0597      1.0900
       45.0082037801.2652      1.0771      1.1164
       50.00101286285.5756      1.0974      1.1472
       55.00122563512.2150      1.1210      1.1831
       60.00145870522.2272      1.1483      1.2249
       65.00171208624.6752      1.1799      1.2733
       70.00198579479.7135      1.2166      1.3297
       75.00227985215.9484      1.2592      1.3955
       80.00259428599.5800      1.3091      1.4727
       85.00292913283.8669      1.3677      1.5638
       90.00328444187.0117      1.4373      1.6724
       95.00366028082.5968      1.5208      1.8033
      100.00405674556.2065      1.6225      1.9633
      105.00447397623.3920      1.7484      2.1623
      110.00491218611.2768      1.9081      2.4155
      115.00537171626.2601      2.1165      2.7472
      120.00585314788.1598      2.3992      3.1988
      125.00635755825.3062      2.8036      3.8470
      130.00688719177.9100      3.4287      4.8522
      135.00744761717.0799      4.5211      6.6133
      140.00805738223.8682      6.9093     10.4721
      145.00883197509.7850     16.0470     25.2689
      150.00853766761.4691     27.6725     45.4053
      155.00952234425.8024      7.4662     12.8067
      160.001023417009.9400      4.0784      7.3397
      165.001092193517.6821      2.7066      5.1313
      170.001161582957.3203      1.9645      3.9414
      175.001232371229.6077      1.4989      3.1993
      180.001304851920.2079      1.1790      2.6935
      185.001379159392.5404      0.9451      2.3275
      190.001455363806.2788      0.7662      2.0511
      195.001533505374.1462      0.6244      1.8356
      200.001613608808.5738      0.5089      1.6634
      205.001695690145.4145      0.4126      1.5230
      210.001779760257.4264      0.3306      1.4069
      215.001865826790.8420      0.2596      1.3095
      220.001953895293.5069      0.1973      1.2272
      225.002043969903.0596      0.1417      1.1569
      230.002136053783.5358      0.0919      1.0966
      235.002230149412.0239      0.0477      1.0447
      240.002326258772.7645      0.0200      0.9998
      245.002424383492.4304      0.0450      0.9610
      250.002524524937.1360      0.0812      0.9275
      255.002626684284.1210      0.1174      0.8988
      260.002730862576.5375      0.1529      0.8742
      265.002837060767.0339      0.1880      0.8535
      270.002945279754.1605      0.2229      0.8364
      275.003055520414.6192      0.2580      0.8226
      280.003167783633.8228      0.2937      0.8120
      285.003282070337.0050      0.3305      0.8046
      290.003398381523.1844      0.3686      0.8003
      295.003516718304.6330      0.4086      0.7992
      300.003637081955.2209      0.4511      0.8014
      305.003759473972.2221      0.4968      0.8073
      310.003883896158.1535      0.5463      0.8170
      315.004010350732.4248      0.6008      0.8311
      320.004138840487.8163      0.6615      0.8503
      325.004269369015.5332      0.7299      0.8753
      330.004401941037.4776      0.8083      0.9075
      335.004536562910.5515      0.8994      0.9484
      340.004673243415.1699      1.0074      1.0005
      345.004811995028.7107      1.1380      1.0672
      350.004952836055.0259      1.2998      1.1537
      355.005095794315.0515      1.5063      1.2681
      360.005240913743.7953      1.7794      1.4238
      365.005388266251.7293      2.1579      1.6439
      370.005537970810.6989      2.7144      1.9721
      375.005690199049.9166      3.5981      2.4969
      380.005844887743.8780      5.1196      3.3983
      385.005998680648.0001      7.5516      4.8012
      390.006142638333.5426      8.2567      5.0343
      395.006295987327.2976      5.8728      3.4381
      400.006457974749.3375      4.0794      2.2955
      405.006622257941.1954      3.0479      1.6503
      410.006788149074.4445      2.4150      1.2594
      415.006955735399.8529      1.9945      1.0027
      420.007125125175.1120      1.6968      0.8231
      425.007296390332.3837      1.4754      0.6911
      430.007469576090.2027      1.3047      0.5906
      435.007644711349.5724      1.1690      0.5118
      440.007821815160.4722      1.0586      0.4486
      445.008000900486.4885      0.9670      0.3969
      450.008181976413.4925      0.8898      0.3539
      455.008365049479.6640      0.8238      0.3177
      460.008550124500.8267      0.7667      0.2869
      465.008737205097.9259      0.7168      0.2604
      470.008926294043.5305      0.6728      0.2375
      475.009117393495.2313      0.6337      0.2174
      480.009310505156.4679      0.5988      0.1997
      485.009505630389.6502      0.5674      0.1841
      490.009702770297.2170      0.5389      0.1702
      495.009901925780.7099      0.5131      0.1578
