Frequency,Hz      comp#1      comp#2
        0.00        -nan        -nan
        5.00   2304.0003   2304.0003
       10.00    576.0002    576.0002
       15.00    256.0002    256.0002
       20.00    144.0002    144.0002
       25.00     92.1602     92.1602
       30.00     64.0002     64.0002
       35.00     47.0206     47.0206
       40.00     36.0002     36.0002
       45.00     28.4446     28.4446
       50.00     23.0402     23.0402
       55.00     19.0415     19.0415
       60.00     16.0002     16.0002
       65.00     13.6333     13.6333
       70.00     11.7553     11.7553
       75.00     10.2402     10.2402
       80.00      9.0002      9.0002
       85.00      7.9725      7.9725
       90.00      7.1113      7.1113
       95.00      6.3825      6.3825
      100.00      5.7602      5.7602
      105.00      5.2247      5.2247
      110.00      4.7605      4.7605
      115.00      4.3556      4.3556
      120.00      4.0002      4.0002
      125.00      3.6866      3.6866
      130.00      3.4085      3.4085
      135.00      3.1607      3.1607
      140.00      2.9390      2.9390
      145.00      2.7398      2.7398
      150.00      2.5602      2.5602
      155.00      2.3977      2.3977
      160.00      2.2502      2.2502
      165.00      2.1159      2.1159
      170.00      1.9933      1.9933
      175.00      1.8810      1.8810
      180.00      1.7780      1.7780
      185.00      1.6832      1.6832
      190.00      1.5958      1.5958
      195.00      1.5150      1.5150
      200.00      1.4402      1.4402
      205.00      1.3708      1.3708
      210.00      1.3063      1.3063
      215.00      1.2463      1.2463
      220.00      1.1903      1.1903
      225.00      1.1380      1.1380
      230.00      1.0890      1.0890
      235.00      1.0432      1.0432
      240.00      1.0002      1.0002
      245.00      0.9598      0.9598
      250.00      0.9218      0.9218
      255.00      0.8860      0.8860
      260.00      0.8523      0.8523
      265.00      0.8204      0.8204
      270.00      0.7903      0.7903
      275.00      0.7619      0.7619
      280.00      0.7349      0.7349
      285.00      0.7093      0.7093
      290.00      0.6851      0.6851
      295.00      0.6621      0.6621
      300.00      0.6402      0.6402
      305.00      0.6194      0.6194
      310.00      0.5996      0.5996
      315.00      0.5807      0.5807
      320.00      0.5627      0.5627
      325.00      0.5455      0.5455
      330.00      0.5291      0.5291
      335.00      0.5135      0.5135
      340.00      0.4985      0.4985
      345.00      0.4841      0.4841
      350.00      0.4704      0.4704
      355.00      0.4573      0.4573
      360.00      0.4446      0.4446
      365.00      0.4326      0.4326
      370.00      0.4209      0.4209
      375.00      0.4098      0.4098
      380.00      0.3991      0.3991
      385.00      0.3888      0.3888
      390.00      0.3789      0.3789
      395.00      0.3694      0.3694
      400.00      0.3602      0.3602
      405.00      0.3514      0.3514
      410.00      0.3429      0.3429
      415.00      0.3346      0.3346
      420.00      0.3267      0.3267
      425.00      0.3191      0.3191
      430.00      0.3117      0.3117
      435.00      0.3046      0.3046
      440.00      0.2977      0.2977
      445.00      0.2911      0.2911
      450.00      0.2846      0.2846
      455.00      0.2784      0.2784
      460.00      0.2724      0.2724
      465.00      0.2666      0.2666
      470.00      0.2610      0.2610
      475.00      0.2555      0.2555
      480.00      0.2502      0.2502
      485.00      0.2451      0.2451
      490.00      0.2401      0.2401
      495.00      0.2353      0.2353
