Frequency,Hz      comp#1      comp#2
        0.00                    -nan                  0.0000
        5.00                  1.0721                  0.4289
       10.00                  6.0233                  6.8898
       15.00                 52.5602                 35.1087
       20.00                191.8142                111.9898
       25.00                500.8695                276.7042
       30.00               1083.3149                582.3173
       35.00               2073.0155               1098.0696
       40.00               3639.2374               1912.4825
       45.00               5993.5206               3137.5332
       50.00               9398.8747               4914.2527
       55.00              14182.1210               7420.2595
       60.00              20750.5931              10879.9743
       65.00              29614.9907              15578.6312
       70.00              41421.1066              21881.7653
       75.00              56994.6338              30262.7843
       80.00              77405.7265              41342.7558
       85.00             104064.2010              55949.1550
       90.00             138863.7342              75204.9431
       95.00             184407.1672             100667.8719
      100.00             244371.5857             134556.3654
      105.00             324125.9418             180131.8535
      110.00             431831.4999             242380.2548
      115.00             580531.2467             329306.2594
      120.00             792447.2606             454595.8361
      125.00            1108787.6613             643693.1022
      130.00            1615530.8524             949779.1238
      135.00            2526776.4419            1505430.4541
      140.00            4563018.4443            2757094.3119
      145.00           12483284.6407            7655321.7632
      150.00           25290849.4825           15753417.6975
      155.00            8000606.0480            5066009.4551
      160.00            5116931.0954            3296508.0357
      165.00            3973100.7128            2606523.6446
      170.00            3373790.8855            2256014.5249
      175.00            3014129.9457            2056370.5024
      180.00            2780952.7765            1937736.3379
      185.00            2622579.8132            1868365.1757
      190.00            2512017.7428            1831828.9415
      195.00            2433753.9223            1818842.1956
      200.00            2378201.8427            1823825.5464
      205.00            2339081.1665            1843287.4523
      210.00            2312069.2404            1874994.4107
      215.00            2294057.2069            1917516.6177
      220.00            2282715.4947            1969966.4234
      225.00            2276227.2523            2031842.2158
      230.00            2273117.4163            2102933.2458
      235.00            2272138.3542            2183261.5811
      240.00            2272189.9361            2273047.9557
      245.00            2272260.9036            2372693.9997
      250.00            2271383.3892            2482776.5980
      255.00            2268595.2685            2604052.1115
      260.00            2262906.6473            2737469.5141
      265.00            2253267.6914            2884192.4786
      270.00            2238535.4636            3045631.3070
      275.00            2217437.5708            3223486.4797
      280.00            2188530.3371            3419806.6372
      285.00            2150148.9274            3637065.1608
      290.00            2100346.4209            3878261.3833
      295.00            2036818.4024            4147055.1489
      300.00            1956809.6411            4447947.4301
      305.00            1857001.2022            4786525.7615
      310.00            1733384.2109            5169802.6855
      315.00            1581155.1177            5606690.4375
      320.00            1394772.3521            6108679.7104
      325.00            1168744.1928            6690831.7897
      330.00             901870.1678            7373265.4016
      335.00             621881.4546            8183449.4188
      340.00             522489.4636            9159855.9434
      345.00             909060.0145           10358005.9117
      350.00            1653335.8483           11860926.5240
      355.00            2716229.7210           13798203.8692
      360.00            4208307.2392           16382881.1830
      365.00            6366439.0971           19988172.6694
      370.00            9657255.8162           25319767.1696
      375.00           15066484.6369           33825848.5375
      380.00           24777131.7206           48541642.8052
      385.00           41652144.4125           72260738.3798
      390.00           51326968.6300           79782487.2667
      395.00           40774242.8166           57333516.2394
      400.00           31395939.3923           40255228.9454
      405.00           25837881.8358           30413102.6570
      410.00           22429685.2935           24377541.5982
      415.00           20199678.9945           20372569.5736
      420.00           18662135.4969           17542695.0828
      425.00           17560678.8934           15444887.1737
      430.00           16750058.0313           13831093.5137
      435.00           16142636.2545           12552865.9412
      440.00           15682680.9716           11516362.0402
      445.00           15333165.9227           10659523.6367
      450.00           15068578.0191            9939745.9617
      455.00           14870787.5812            9326844.7442
      460.00           14726568.8987            8798855.6537
      465.00           14626053.1195            8339424.2761
      470.00           14561730.0953            7936128.0654
      475.00           14527785.3460            7579364.9605
      480.00           14519648.1975            7261597.8802
      485.00           14533676.7728            6976829.1845
      490.00           14566933.9083            6720227.5437
      495.00           14617024.8413            6487858.1231
