Frequency,Hz      comp#1      comp#2
        0.00                    -nan                    -nan
        5.00         2333087330.9132                  1.0013
       10.00         2333101098.8529                  1.0052
       15.00         2333126831.7345                  1.0118
       20.00         2333163677.2708                  1.0212
       25.00         2333211991.4541                  1.0335
       30.00         2333272416.1445                  1.0489
       35.00         2333345817.4333                  1.0676
       40.00         2333433303.9274                  1.0900
       45.00         2333536269.1580                  1.1164
       50.00         2333656452.8895                  1.1472
       55.00         2333796024.9290                  1.1831
       60.00         2333957699.1428                  1.2249
       65.00         2334144889.8018                  1.2733
       70.00         2334361928.8370                  1.3297
       75.00         2334614372.8301                  1.3955
       80.00         2334909445.4860                  1.4727
       85.00         2335256690.2415                  1.5638
       90.00         2335668958.8109                  1.6724
       95.00         2336163955.6951                  1.8033
      100.00         2336766740.4314                  1.9633
      105.00         2337513959.3503                  2.1623
      110.00         2338461381.4837                  2.4155
      115.00         2339698195.3954                  2.7472
      120.00         2341376378.0843                  3.1988
      125.00         2343777588.9040                  3.8470
      130.00         2347488479.5218                  4.8522
      135.00         2353963929.5637                  6.6133
      140.00         2368045081.9279                 10.4721
      145.00         2419780956.5961                 25.2689
      150.00         2185813744.3659                 45.4053
      155.00         2283175089.8630                 12.8067
      160.00         2302893095.0068                  7.3397
      165.00         2310975114.5789                  5.1313
      170.00         2315359738.8509                  3.9414
      175.00         2318110547.7264                  3.1993
      180.00         2319997861.8568                  2.6935
      185.00         2321374033.1740                  2.3275
      190.00         2322422940.2229                  2.0511
      195.00         2323249895.4113                  1.8356
      200.00         2323919547.3279                  1.6634
      205.00         2324473778.2096                  1.5230
      210.00         2324940916.3851                  1.4069
      215.00         2325340811.9735                  1.3095
      220.00         2325687791.8879                  1.2272
      225.00         2325992460.5820                  1.1569
      230.00         2326262840.5029                  1.0966
      235.00         2326505118.6051                  1.0447
      240.00         2326724149.2379                  0.9998
      245.00         2326923801.6199                  0.9610
      250.00         2327107205.4726                  0.9275
      255.00         2327276928.3511                  0.8988
      260.00         2327435106.2531                  0.8742
      265.00         2327583541.7493                  0.8535
      270.00         2327723779.2777                  0.8364
      275.00         2327857164.3007                  0.8226
      280.00         2327984891.1278                  0.8120
      285.00         2328108042.9878                  0.8046
      290.00         2328227627.1855                  0.8003
      295.00         2328344607.7729                  0.7992
      300.00         2328459938.0561                  0.8014
      305.00         2328574595.4495                  0.8073
      310.00         2328689621.7355                  0.8170
      315.00         2328806172.8493                  0.8311
      320.00         2328925584.1600                  0.8503
      325.00         2329049460.3977                  0.8753
      330.00         2329179804.8599                  0.9075
      335.00         2329319212.1915                  0.9484
      340.00         2329471166.4982                  1.0005
      345.00         2329640519.0672                  1.0672
      350.00         2329834282.0723                  1.1537
      355.00         2330062994.8330                  1.2681
      360.00         2330343143.8731                  1.4238
      365.00         2330701445.3828                  1.6439
      370.00         2331181446.8623                  1.9721
      375.00         2331843497.4534                  2.4969
      380.00         2332647658.5992                  3.3983
      385.00         2332277424.4035                  4.8012
      390.00         2327434642.6329                  5.0343
      395.00         2325558823.4504                  3.4381
      400.00         2326162354.8589                  2.2955
      405.00         2326835990.2398                  1.6503
      410.00         2327338330.7422                  1.2594
      415.00         2327710347.6279                  1.0027
      420.00         2327996290.4786                  0.8231
      425.00         2328224896.5300                  0.6911
      430.00         2328414059.7279                  0.5906
      435.00         2328575160.0606                  0.5118
      440.00         2328715678.2309                  0.4486
      445.00         2328840698.1569                  0.3969
      450.00         2328953781.8947                  0.3539
      455.00         2329057493.9148                  0.3177
      460.00         2329153725.3094                  0.2869
      465.00         2329243900.4652                  0.2604
      470.00         2329329112.5654                  0.2375
      475.00         2329410214.7284                  0.2174
      480.00         2329487882.7391                  0.1997
      485.00         2329562659.1375                  0.1841
      490.00         2329634984.7943                  0.1702
      495.00         2329705221.9157                  0.1578
