Frequency,Hz     point#2     point#3
        0.00        -nan        -nan
        5.00      0.0010      0.0010
       10.00      0.0003      0.0003
       15.00      0.0001      0.0001
       20.00      0.0001      0.0001
       25.00      0.0000      0.0000
       30.00      0.0000      0.0000
       35.00      0.0000      0.0000
       40.00      0.0000      0.0000
       45.00      0.0000      0.0000
       50.00      0.0000      0.0000
       55.00      0.0000      0.0000
       60.00      0.0000      0.0000
       65.00      0.0000      0.0000
       70.00      0.0000      0.0000
       75.00      0.0000      0.0000
       80.00      0.0000      0.0000
       85.00      0.0000      0.0000
       90.00      0.0000      0.0000
       95.00      0.0000      0.0000
      100.00      0.0000      0.0000
      105.00      0.0000      0.0000
      110.00      0.0000      0.0000
      115.00      0.0000      0.0000
      120.00      0.0000      0.0000
      125.00      0.0000      0.0000
      130.00      0.0000      0.0000
      135.00      0.0000      0.0000
      140.00      0.0000      0.0000
      145.00      0.0000      0.0000
      150.00      0.0000      0.0001
      155.00      0.0000      0.0000
      160.00      0.0000      0.0000
      165.00      0.0000      0.0000
      170.00      0.0000      0.0000
      175.00      0.0000      0.0000
      180.00      0.0000      0.0000
      185.00      0.0000      0.0000
      190.00      0.0000      0.0000
      195.00      0.0000      0.0000
      200.00      0.0000      0.0000
      205.00      0.0000      0.0000
      210.00      0.0000      0.0000
      215.00      0.0000      0.0000
      220.00      0.0000      0.0000
      225.00      0.0000      0.0000
      230.00      0.0000      0.0000
      235.00      0.0000      0.0000
      240.00      0.0000      0.0000
      245.00      0.0000      0.0000
      250.00      0.0000      0.0000
      255.00      0.0000      0.0000
      260.00      0.0000      0.0000
      265.00      0.0000      0.0000
      270.00      0.0000      0.0000
      275.00      0.0000      0.0000
      280.00      0.0000      0.0000
      285.00      0.0000      0.0000
      290.00      0.0000      0.0000
      295.00      0.0000      0.0000
      300.00      0.0000      0.0000
      305.00      0.0000      0.0000
      310.00      0.0000      0.0000
      315.00      0.0000      0.0000
      320.00      0.0000      0.0000
      325.00      0.0000      0.0000
      330.00      0.0000      0.0000
      335.00      0.0000      0.0000
      340.00      0.0000      0.0000
      345.00      0.0000      0.0000
      350.00      0.0000      0.0000
      355.00      0.0000      0.0000
      360.00      0.0000      0.0000
      365.00      0.0000      0.0000
      370.00      0.0000      0.0000
      375.00      0.0000      0.0000
      380.00      0.0000      0.0000
      385.00      0.0000      0.0000
      390.00      0.0000      0.0000
      395.00      0.0000      0.0000
      400.00      0.0000      0.0000
      405.00      0.0000      0.0000
      410.00      0.0000      0.0000
      415.00      0.0000      0.0000
      420.00      0.0000      0.0000
      425.00      0.0000      0.0000
      430.00      0.0000      0.0000
      435.00      0.0000      0.0000
      440.00      0.0000      0.0000
      445.00      0.0000      0.0000
      450.00      0.0000      0.0000
      455.00      0.0000      0.0000
      460.00      0.0000      0.0000
      465.00      0.0000      0.0000
      470.00      0.0000      0.0000
      475.00      0.0000      0.0000
      480.00      0.0000      0.0000
      485.00      0.0000      0.0000
      490.00      0.0000      0.0000
      495.00      0.0000      0.0000
