input file: input-plate.dat

Input Data:
E=,20387.35984,h=,5.000000,rho=,7.95107e-10,nu=,0.300000,q=,0.010000

Calculated Data:
D=,233371.7930402931,

Radius Range:
r: 0.000000, 300.000000

Boundary Conditions Found:
angle=0.,r=300.,
angle=0.,r=0.,
disp=0.,r=300.,

  radius(mm),    Disp(mm),  Angle(rad),Moment_r(kgs.mm),Moment_t(kgs.mm), Sr(kgs/mm2), St(kgs/mm2)
    0.000000,       5.423,    0.000000,      112.50,       33.75,       27.00,        8.10
    3.000000,       5.422,    0.000723,       73.11,       73.11,       17.55,       17.55
    6.000000,       5.419,    0.001446,       73.05,       73.08,       17.53,       17.54
    9.000000,       5.413,    0.002167,       72.96,       73.03,       17.51,       17.53
   12.000000,       5.406,    0.002888,       72.83,       72.95,       17.48,       17.51
   15.000000,       5.396,    0.003606,       72.66,       72.86,       17.44,       17.49
   18.000000,       5.384,    0.004323,       72.46,       72.74,       17.39,       17.46
   21.000000,       5.370,    0.005037,       72.22,       72.60,       17.33,       17.42
   24.000000,       5.354,    0.005748,       71.94,       72.44,       17.26,       17.39
   27.000000,       5.336,    0.006455,       71.62,       72.26,       17.19,       17.34
   30.000000,       5.315,    0.007159,       71.27,       72.06,       17.10,       17.29
   33.000000,       5.293,    0.007858,       70.88,       71.83,       17.01,       17.24
   36.000000,       5.268,    0.008552,       70.45,       71.59,       16.91,       17.18
   39.000000,       5.241,    0.009241,       69.99,       71.32,       16.80,       17.12
   42.000000,       5.213,    0.009925,       69.49,       71.03,       16.68,       17.05
   45.000000,       5.182,    0.010602,       68.95,       70.72,       16.55,       16.97
   48.000000,       5.149,    0.011273,       68.37,       70.39,       16.41,       16.89
   51.000000,       5.114,    0.011937,       67.76,       70.04,       16.26,       16.81
   54.000000,       5.077,    0.012594,       67.11,       69.66,       16.11,       16.72
   57.000000,       5.039,    0.013243,       66.42,       69.27,       15.94,       16.62
   60.000000,       4.998,    0.013883,       65.70,       68.85,       15.77,       16.52
   63.000000,       4.955,    0.014515,       64.94,       68.41,       15.59,       16.42
   66.000000,       4.911,    0.015138,       64.14,       67.95,       15.39,       16.31
   69.000000,       4.865,    0.015751,       63.31,       67.47,       15.19,       16.19
   72.000000,       4.816,    0.016355,       62.43,       66.97,       14.98,       16.07
   75.000000,       4.766,    0.016948,       61.52,       66.45,       14.77,       15.95
   78.000000,       4.715,    0.017530,       60.58,       65.90,       14.54,       15.82
   81.000000,       4.661,    0.018100,       59.59,       65.33,       14.30,       15.68
   84.000000,       4.606,    0.018659,       58.57,       64.75,       14.06,       15.54
   87.000000,       4.549,    0.019206,       57.51,       64.14,       13.80,       15.39
   90.000000,       4.491,    0.019740,       56.42,       63.51,       13.54,       15.24
   93.000000,       4.431,    0.020262,       55.29,       62.85,       13.27,       15.09
