input file: input-supported-plate-with-hole.dat

Input Data:
E=,20387.35984,h=,5.000000,rho=,7.95107e-10,nu=,0.300000,q=,0.010000

Calculated Data:
D=,233371.7930402931,

Radius Range:
r: 10.000000, 300.000000

Boundary Conditions Found:
disp=0.,r=300.,
disp=0.,r=10.,
moment=0.,r=10.,

  radius(mm),    Disp(mm),  Angle(rad),Moment_r(kgs.mm),Moment_t(kgs.mm), Sr(kgs/mm2), St(kgs/mm2)
   10.000000,      -0.000,    0.003312,        0.00,       70.33,        0.00,       16.88
   12.900000,      -0.009,    0.003164,       14.00,       56.28,        3.36,       13.51
   15.800000,      -0.019,    0.003193,       20.94,       49.19,        5.03,       11.81
   18.700000,      -0.028,    0.003315,       24.83,       45.10,        5.96,       10.82
   21.600000,      -0.038,    0.003492,       27.16,       42.48,        6.52,       10.20
   24.500000,      -0.048,    0.003704,       28.60,       40.68,        6.86,        9.76
   27.400000,      -0.059,    0.003937,       29.50,       39.36,        7.08,        9.45
   30.300000,      -0.071,    0.004185,       30.05,       38.34,        7.21,        9.20
   33.200000,      -0.084,    0.004442,       30.34,       37.51,        7.28,        9.00
   36.100000,      -0.097,    0.004705,       30.44,       36.81,        7.31,        8.83
   39.000000,      -0.111,    0.004971,       30.40,       36.19,        7.30,        8.69
   41.900000,      -0.126,    0.005238,       30.25,       35.63,        7.26,        8.55
   44.800000,      -0.141,    0.005505,       30.01,       35.10,        7.20,        8.42
   47.700000,      -0.158,    0.005770,       29.68,       34.59,        7.12,        8.30
   50.600000,      -0.175,    0.006032,       29.29,       34.10,        7.03,        8.18
   53.500000,      -0.193,    0.006290,       28.83,       33.62,        6.92,        8.07
   56.400000,      -0.211,    0.006543,       28.31,       33.13,        6.79,        7.95
   59.300000,      -0.231,    0.006791,       27.74,       32.64,        6.66,        7.83
   62.200000,      -0.251,    0.007033,       27.12,       32.15,        6.51,        7.72
   65.100000,      -0.271,    0.007268,       26.45,       31.65,        6.35,        7.60
   68.000000,      -0.293,    0.007496,       25.74,       31.13,        6.18,        7.47
   70.900000,      -0.315,    0.007716,       24.98,       30.61,        6.00,        7.35
   73.800000,      -0.337,    0.007928,       24.18,       30.07,        5.80,        7.22
   76.700000,      -0.361,    0.008130,       23.34,       29.51,        5.60,        7.08
   79.600000,      -0.385,    0.008323,       22.46,       28.94,        5.39,        6.95
   82.500000,      -0.409,    0.008506,       21.54,       28.36,        5.17,        6.81
   85.400000,      -0.434,    0.008679,       20.59,       27.76,        4.94,        6.66
   88.300000,      -0.459,    0.008841,       19.59,       27.14,        4.70,        6.51
   91.200000,      -0.485,    0.008992,       18.55,       26.50,        4.45,        6.36
   94.100000,      -0.511,    0.009130,       17.48,       25.85,        4.20,        6.20
   97.000000,      -0.538,    0.009257,       16.37,       25.18,        3.93,        6.04
   99.900000,      -0.565,    0.009371,       15.23,       24.49,        3.65,        5.88
  102.800000,      -0.592,    0.009472,       14.04,       23.78,        3.37,        5.71
  105.700000,      -0.620,    0.009560,       12.82,       23.05,        3.08,        5.53
  108.600000,      -0.648,    0.009633,       11.57,       22.31,        2.78,        5.35
  111.500000,      -0.676,    0.009693,       10.27,       21.54,        2.47,        5.17
  114.400000,      -0.704,    0.009737,        8.94,       20.76,        2.15,        4.98
  117.300000,      -0.732,    0.009767,        7.58,       19.96,        1.82,        4.79
  120.200000,      -0.761,    0.009781,        6.18,       19.13,        1.48,        4.59
  123.100000,      -0.789,    0.009778,        4.74,       18.29,        1.14,        4.39
  126.000000,      -0.817,    0.009760,        3.27,       17.43,        0.79,        4.18
  128.900000,      -0.846,    0.009725,        1.76,       16.55,        0.42,        3.97
  131.800000,      -0.874,    0.009672,        0.22,       15.65,        0.05,        3.76
  134.700000,      -0.902,    0.009603,       -1.36,       14.73,       -0.33,        3.54
  137.600000,      -0.930,    0.009515,       -2.97,       13.79,       -0.71,        3.31
  140.500000,      -0.957,    0.009408,       -4.62,       12.83,       -1.11,        3.08
  143.400000,      -0.984,    0.009283,       -6.30,       11.86,       -1.51,        2.85
  146.300000,      -1.011,    0.009139,       -8.02,       10.86,       -1.93,        2.61
  149.200000,      -1.037,    0.008975,       -9.78,        9.84,       -2.35,        2.36
  152.100000,      -1.063,    0.008791,      -11.57,        8.80,       -2.78,        2.11
  155.000000,      -1.088,    0.008587,      -13.39,        7.75,       -3.21,        1.86
  157.900000,      -1.113,    0.008362,      -15.25,        6.67,       -3.66,        1.60
  160.800000,      -1.137,    0.008115,      -17.15,        5.57,       -4.12,        1.34
  163.700000,      -1.160,    0.007847,      -19.08,        4.46,       -4.58,        1.07
  166.600000,      -1.182,    0.007558,      -21.04,        3.32,       -5.05,        0.80
  169.500000,      -1.203,    0.007245,      -23.04,        2.16,       -5.53,        0.52
  172.400000,      -1.224,    0.006910,      -25.08,        0.99,       -6.02,        0.24
  175.300000,      -1.244,    0.006552,      -27.15,       -0.21,       -6.52,       -0.05
  178.200000,      -1.262,    0.006170,      -29.26,       -1.42,       -7.02,       -0.34
  181.100000,      -1.279,    0.005765,      -31.40,       -2.66,       -7.54,       -0.64
  184.000000,      -1.295,    0.005335,      -33.57,       -3.91,       -8.06,       -0.94
  186.900000,      -1.310,    0.004880,      -35.78,       -5.19,       -8.59,       -1.25
  189.800000,      -1.324,    0.004400,      -38.03,       -6.48,       -9.13,       -1.56
  192.700000,      -1.336,    0.003894,      -40.31,       -7.80,       -9.67,       -1.87
  195.600000,      -1.346,    0.003363,      -42.62,       -9.14,      -10.23,       -2.19
  198.500000,      -1.355,    0.002805,      -44.97,      -10.49,      -10.79,       -2.52
  201.400000,      -1.362,    0.002220,      -47.36,      -11.87,      -11.37,       -2.85
  204.300000,      -1.368,    0.001609,      -49.78,      -13.26,      -11.95,       -3.18
  207.200000,      -1.372,    0.000969,      -52.23,      -14.68,      -12.54,       -3.52
  210.100000,      -1.374,    0.000302,      -54.72,      -16.11,      -13.13,       -3.87
  213.000000,      -1.374,   -0.000393,      -57.24,      -17.56,      -13.74,       -4.22
  215.900000,      -1.371,   -0.001117,      -59.80,      -19.04,      -14.35,       -4.57
  218.800000,      -1.367,   -0.001870,      -62.40,      -20.53,      -14.97,       -4.93
  221.700000,      -1.360,   -0.002653,      -65.02,      -22.05,      -15.61,       -5.29
  224.600000,      -1.352,   -0.003466,      -67.69,      -23.58,      -16.24,       -5.66
  227.500000,      -1.340,   -0.004309,      -70.39,      -25.14,      -16.89,       -6.03
  230.400000,      -1.327,   -0.005182,      -73.12,      -26.71,      -17.55,       -6.41
  233.300000,      -1.310,   -0.006087,      -75.89,      -28.31,      -18.21,       -6.79
  236.200000,      -1.291,   -0.007023,      -78.69,      -29.92,      -18.89,       -7.18
  239.100000,      -1.269,   -0.007991,      -81.53,      -31.56,      -19.57,       -7.57
  242.000000,      -1.245,   -0.008991,      -84.40,      -33.21,      -20.26,       -7.97
  244.900000,      -1.217,   -0.010024,      -87.31,      -34.88,      -20.95,       -8.37
  247.800000,      -1.187,   -0.011090,      -90.25,      -36.58,      -21.66,       -8.78
  250.700000,      -1.153,   -0.012189,      -93.22,      -38.29,      -22.37,       -9.19
  253.600000,      -1.116,   -0.013322,      -96.24,      -40.03,      -23.10,       -9.61
  256.500000,      -1.076,   -0.014490,      -99.28,      -41.78,      -23.83,      -10.03
  259.400000,      -1.032,   -0.015692,     -102.36,      -43.56,      -24.57,      -10.45
  262.300000,      -0.985,   -0.016929,     -105.48,      -45.35,      -25.31,      -10.88
  265.200000,      -0.934,   -0.018201,     -108.63,      -47.16,      -26.07,      -11.32
  268.100000,      -0.879,   -0.019509,     -111.81,      -49.00,      -26.84,      -11.76
  271.000000,      -0.820,   -0.020853,     -115.03,      -50.85,      -27.61,      -12.20
  273.900000,      -0.758,   -0.022234,     -118.29,      -52.73,      -28.39,      -12.65
  276.800000,      -0.691,   -0.023652,     -121.58,      -54.62,      -29.18,      -13.11
  279.700000,      -0.621,   -0.025107,     -124.90,      -56.53,      -29.98,      -13.57
  282.600000,      -0.546,   -0.026600,     -128.26,      -58.47,      -30.78,      -14.03
  285.500000,      -0.466,   -0.028131,     -131.65,      -60.42,      -31.60,      -14.50
