input file: input-supported-plate.dat

Input Data:
E=,20387.35984,h=,5.000000,rho=,7.95107e-10,nu=,0.300000,q=,0.010000

Calculated Data:
D=,233371.7930402931,

Radius Range:
r: 0.000000, 300.000000

Boundary Conditions Found:
disp=0.,r=300.,
moment=0.,r=300.,
angle=0.,r=0.,

  radius(mm),    Disp(mm),  Angle(rad),Moment_r(kgs.mm),Moment_t(kgs.mm), Sr(kgs/mm2), St(kgs/mm2)
    0.000000,      22.110,    0.000000,      185.62,      185.62,       44.55,       44.55
    3.000000,      22.107,    0.001835,      185.61,      185.61,       44.55,       44.55
    6.000000,      22.099,    0.003671,      185.55,      185.58,       44.53,       44.54
    9.000000,      22.085,    0.005505,      185.46,      185.53,       44.51,       44.53
   12.000000,      22.066,    0.007338,      185.33,      185.45,       44.48,       44.51
   15.000000,      22.041,    0.009169,      185.16,      185.36,       44.44,       44.49
   18.000000,      22.011,    0.010998,      184.96,      185.24,       44.39,       44.46
   21.000000,      21.975,    0.012824,      184.72,      185.10,       44.33,       44.42
   24.000000,      21.934,    0.014647,      184.44,      184.94,       44.26,       44.39
   27.000000,      21.887,    0.016467,      184.12,      184.76,       44.19,       44.34
   30.000000,      21.835,    0.018283,      183.77,      184.56,       44.10,       44.29
   33.000000,      21.778,    0.020095,      183.38,      184.33,       44.01,       44.24
   36.000000,      21.715,    0.021902,      182.95,      184.09,       43.91,       44.18
   39.000000,      21.646,    0.023703,      182.49,      183.82,       43.80,       44.12
   42.000000,      21.572,    0.025499,      181.99,      183.53,       43.68,       44.05
   45.000000,      21.493,    0.027289,      181.45,      183.22,       43.55,       43.97
   48.000000,      21.409,    0.029073,      180.87,      182.89,       43.41,       43.89
   51.000000,      21.319,    0.030849,      180.26,      182.54,       43.26,       43.81
   54.000000,      21.224,    0.032618,      179.61,      182.16,       43.11,       43.72
   57.000000,      21.123,    0.034379,      178.92,      181.77,       42.94,       43.62
   60.000000,      21.017,    0.036133,      178.20,      181.35,       42.77,       43.52
   63.000000,      20.906,    0.037877,      177.44,      180.91,       42.59,       43.42
   66.000000,      20.790,    0.039612,      176.64,      180.45,       42.39,       43.31
   69.000000,      20.669,    0.041338,      175.81,      179.97,       42.19,       43.19
   72.000000,      20.542,    0.043054,      174.93,      179.47,       41.98,       43.07
   75.000000,      20.410,    0.044759,      174.02,      178.95,       41.77,       42.95
