    Freq(Hz)    SFF(NASA-HDBK-7004C) RMS = 203.29
       20.00              712.194580
       30.00              712.194580
       40.00              712.194580
       50.00              538.436732
       60.00              347.615945
       70.00              240.119480
       80.00              174.279667
       90.00              131.365302
      100.00              102.014684
      110.00               81.155928
      120.00               65.860906
      120.00               65.860906
      126.00               54.628871
      132.00               45.321196
      138.00               37.556367
      144.00               31.039561
      150.00               25.540509
      156.00               20.877602
      162.00               16.906321
      168.00               13.510712
      174.00               10.597030
      180.00                8.088948
      180.00                8.088948
      198.50                6.396182
      217.00                5.164671
      235.50                4.243927
      254.00                3.539526
      272.50                2.989967
      291.00                2.553894
      309.50                2.202726
      328.00                1.916235
      346.50                1.679803
      365.00                1.482665
      365.00                1.482665
      528.50                0.553575
      692.00                0.260408
      855.50                0.138804
     1019.00                0.079579
     1182.50                0.047531
     1346.00                0.028862
     1509.50                0.017384
     1673.00                0.010039
     1836.50                0.005193
     2000.00                0.001924
