           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
               1,            44.5,            39.5,             0.3,             0.0,             0.1,            40.1,            27.7,
               2,            50.3,             0.1,            37.4,             3.2,             6.8,             2.0,            10.8,
               3,            79.1,             0.0,             0.7,             2.7,             1.7,             0.7,             0.8,
               4,            82.1,             0.0,             1.6,             9.2,             5.8,             2.5,             0.0,
               5,            88.0,             0.0,             1.5,            19.3,            13.2,             9.7,             0.4,
               6,            98.3,             0.0,             0.9,             0.1,             0.0,             0.2,             0.0,
               7,           110.2,             0.9,             2.7,             0.2,             0.1,             0.0,             0.3,
               8,           116.3,             0.1,            11.6,            28.4,            43.2,            12.4,             1.6,
               9,           130.5,            19.0,             1.1,             1.7,             0.1,             0.0,             2.8,
              10,           139.6,             6.3,             0.5,             1.8,             0.1,             0.6,            14.9,
              11,           172.5,             0.5,            31.6,             4.0,            11.2,             8.6,             0.8,
              12,           191.5,            17.0,             0.4,             4.4,             0.2,             0.0,            16.6,
              13,           220.7,             0.1,             0.6,             1.7,             1.7,             1.5,             1.4,
              14,           223.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              15,           225.1,             0.4,             0.1,             0.7,             0.1,             0.0,             0.3,
              16,           227.3,             0.9,             0.5,             1.5,             0.1,             0.1,             0.0,
              17,           233.1,             0.3,             0.2,             0.0,             0.1,             0.2,             0.1,
              18,           235.2,             1.1,             0.0,             2.1,             0.5,             0.1,             0.4,
              19,           239.7,             2.7,             0.2,             0.1,             0.0,             0.5,             1.7,
              20,           246.1,             0.6,             0.0,             0.3,             0.0,             0.1,             0.4,
              21,           252.5,             0.2,             0.1,             0.0,             0.0,             0.0,             1.0,
              22,           253.8,             0.1,             0.0,             0.0,             0.0,             0.0,             0.1,
              23,           255.8,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
              24,           272.0,             0.3,             1.5,             2.7,             1.4,             1.0,             0.9,
              25,           284.6,             0.1,             0.6,             1.2,             0.7,             0.6,             0.6,
              26,           297.0,             0.0,             0.2,             0.1,             0.1,             0.2,             0.3,
              27,           298.9,             0.1,             1.6,             0.5,             0.5,             1.4,             5.0,
              28,           303.0,             0.1,             0.3,             0.0,             0.1,             0.3,             1.9,
              29,           306.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              30,           312.4,             0.0,             0.1,             0.2,             0.1,             0.1,             0.1,
              31,           313.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              32,           326.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              33,           329.5,             0.1,             0.0,             0.0,             0.0,             0.0,             0.0,
              34,           332.7,             0.1,             0.0,             0.0,             0.1,             0.5,             0.1,
              35,           334.7,             1.2,             0.1,             0.1,             0.0,             0.1,             0.5,
              36,           357.9,             1.5,             0.8,             0.6,             0.8,             1.3,             0.5,
              37,           362.7,             0.1,             0.6,             0.2,             0.6,             0.7,             0.1,
              38,           377.5,             1.2,             0.0,             0.3,             0.1,             0.6,             0.8,
              39,           397.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
              40,           398.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
