    Freq(Hz),       Input(RMS=6.54),       Limit(RMS=281.00),   Interface(RMS=154.39),     Notched(RMS=5.99)
       20.00,      0.0800,     39.8793,     44.5891,  0.07154979
       30.00,      0.0800,     39.8793,     44.5891,  0.07154979
       40.00,      0.0800,     39.8793,     44.5891,  0.07154979
       50.00,      0.0800,     39.8793,     44.5891,  0.07154979
       60.00,      0.0800,     39.8793,     44.5891,  0.07154979
       70.00,      0.0800,     39.8793,     44.5891,  0.07154979
       80.00,      0.0800,     39.8793,     44.5891,  0.07154979
       90.00,      0.0800,     39.8793,     44.5891,  0.07154979
      100.00,      0.0800,     39.8793,     44.5891,  0.07154979
      110.00,      0.0800,     39.8793,     44.5891,  0.07154979
      120.00,      0.0800,     39.8793,     44.5891,  0.07154979
      120.00,      0.0800,     39.8793,     44.5891,  0.07154979
      126.00,      0.0746,     39.8793,     41.5794,  0.07154979
      132.00,      0.0692,     39.8793,     38.5696,  0.06920000
      138.00,      0.0638,     39.8793,     35.5598,  0.06380000
      144.00,      0.0584,     39.8793,     32.5501,  0.05840000
      150.00,      0.0530,     39.8793,     29.5403,  0.05300000
      156.00,      0.0476,     39.8793,     26.5305,  0.04760000
      162.00,      0.0422,     39.8793,     23.5208,  0.04220000
      168.00,      0.0368,     39.8793,     20.5110,  0.03680000
      174.00,      0.0314,     39.8793,     17.5012,  0.03140000
      180.00,      0.0260,     39.8793,     14.4915,  0.02600000
      180.00,      0.0260,     39.8793,     14.4915,  0.02600000
      198.50,      0.0260,     39.8793,     14.4915,  0.02600000
      217.00,      0.0260,     39.8793,     14.4915,  0.02600000
      235.50,      0.0260,     39.8793,     14.4915,  0.02600000
      254.00,      0.0260,     39.8793,     14.4915,  0.02600000
      272.50,      0.0260,     39.8793,     14.4915,  0.02600000
      291.00,      0.0260,     39.8793,     14.4915,  0.02600000
      309.50,      0.0260,     39.8793,     14.4915,  0.02600000
      328.00,      0.0260,     39.8793,     14.4915,  0.02600000
      346.50,      0.0260,     39.8793,     14.4915,  0.02600000
      365.00,      0.0260,     39.8793,     14.4915,  0.02600000
      365.00,      0.0260,     39.8793,     14.4915,  0.02600000
      528.50,      0.0236,     39.8793,     13.1538,  0.02360000
      692.00,      0.0212,     39.8793,     11.8161,  0.02120000
      855.50,      0.0188,     39.8793,     10.4784,  0.01880000
     1019.00,      0.0164,     39.8793,      9.1408,  0.01640000
     1182.50,      0.0140,     39.8793,      7.8031,  0.01400000
     1346.00,      0.0116,     39.8793,      6.4654,  0.01160000
     1509.50,      0.0092,     39.8793,      5.1278,  0.00920000
     1673.00,      0.0068,     39.8793,      3.7901,  0.00680000
     1836.50,      0.0044,     39.8793,      2.4524,  0.00440000
     2000.00,      0.0020,     39.8793,      1.1147,  0.00200000

M0Limit,M0Interface,Direction,Q,Minimum dB,
0.00,231.60,1,10.00,-0.4848,
