   Angle,deg    Disp, cm  Rotat, rad      Q, kgs   M, kgs.cm
        0.00       0.000    0.000000      -40.00     -129.20
        6.00       0.001    0.013984      -23.58      -26.92
       12.00       0.003    0.018273      -11.16       28.30
       18.00       0.004    0.017007       -3.00       50.20
       24.00       0.006    0.013247        1.56       51.70
       30.00       0.007    0.008954        3.51       42.89
       36.00       0.008    0.005193        3.83       30.65
       42.00       0.008    0.002386        3.27       18.98
       48.00       0.008    0.000567        2.40        9.74
       54.00       0.008   -0.000431        1.52        3.41
       60.00       0.008   -0.000842        0.81       -0.34
       66.00       0.008   -0.000888        0.32       -2.11
       72.00       0.008   -0.000747        0.01       -2.59
       78.00       0.008   -0.000540       -0.14       -2.35
       84.00       0.008   -0.000339       -0.19       -1.80
       90.00       0.008   -0.000177       -0.18       -1.20
       96.00       0.008   -0.000065       -0.14       -0.68
      102.00       0.008    0.000002       -0.09       -0.30
      108.00       0.008    0.000035       -0.06       -0.06
      114.00       0.008    0.000044       -0.03        0.07
      120.00       0.008    0.000041       -0.01        0.12
      126.00       0.008    0.000031        0.00        0.12
      132.00       0.008    0.000021        0.01        0.10
      138.00       0.008    0.000012        0.01        0.07
      144.00       0.008    0.000005        0.01        0.04
      150.00       0.008    0.000001        0.01        0.02
      156.00       0.008   -0.000001        0.00        0.01
      162.00       0.008   -0.000002        0.00       -0.00
      168.00       0.008   -0.000002        0.00       -0.01
      174.00       0.008   -0.000001        0.00       -0.01
      180.00       0.008    0.000000        0.00       -0.01
      186.00       0.008    0.000001       -0.00       -0.01
      192.00       0.008    0.000002       -0.00       -0.01
      198.00       0.008    0.000002       -0.00       -0.00
      204.00       0.008    0.000001       -0.00        0.01
      210.00       0.008   -0.000001       -0.01        0.02
      216.00       0.008   -0.000005       -0.01        0.04
      222.00       0.008   -0.000012       -0.01        0.07
      228.00       0.008   -0.000021       -0.01        0.10
      234.00       0.008   -0.000031       -0.00        0.12
      240.00       0.008   -0.000041        0.01        0.12
      246.00       0.008   -0.000044        0.03        0.07
      252.00       0.008   -0.000035        0.06       -0.06
      258.00       0.008   -0.000002        0.09       -0.30
      264.00       0.008    0.000065        0.14       -0.68
      270.00       0.008    0.000177        0.18       -1.20
      276.00       0.008    0.000339        0.19       -1.80
      282.00       0.008    0.000540        0.14       -2.35
      288.00       0.008    0.000747       -0.01       -2.59
      294.00       0.008    0.000888       -0.32       -2.11
      300.00       0.008    0.000842       -0.81       -0.34
      306.00       0.008    0.000431       -1.52        3.41
      312.00       0.008   -0.000567       -2.40        9.74
      318.00       0.008   -0.002386       -3.27       18.98
      324.00       0.008   -0.005193       -3.83       30.65
      330.00       0.007   -0.008954       -3.51       42.89
      336.00       0.006   -0.013247       -1.56       51.70
      342.00       0.004   -0.017007        3.00       50.20
      348.00       0.003   -0.018273       11.16       28.30
      354.00       0.001   -0.013984       23.58      -26.92
      360.00       0.000   -0.000000       40.00     -129.20
