    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.000000        0.000000        0.000000        0.000000          180.00        0.00        0.00
    0.000050        0.000018        0.000018        0.122941          -89.88        0.00        1.51
    0.000100        0.000061        0.000061        0.259338          -89.74        0.09        1.51
    0.000150        0.000119        0.000119        0.403251          -89.60        0.29        1.51
    0.000200        0.000185        0.000185        0.554127          -89.45        0.57        1.51
    0.000250        0.000255        0.000255        0.710938          -89.29        0.89        1.51
    0.000300        0.000328        0.000328        0.872695          -89.13        1.23        1.51
    0.000350        0.000402        0.000402        1.038530          -88.96        1.58        1.51
    0.000400        0.000477        0.000477        1.207713          -88.79        1.94        1.51
    0.000450        0.000551        0.000551        1.379645          -88.62        2.30        1.51
    0.000500        0.000626        0.000626        1.553847          -88.45        2.66        1.51
    0.000550        0.000700        0.000700        1.729937          -88.27        3.02        1.51
    0.000600        0.000774        0.000774        1.907613          -88.09        3.38        1.51
    0.000650        0.000848        0.000848        2.086638          -87.91        3.74        1.51
    0.000700        0.000920        0.000920        2.266830          -87.73        4.09        1.51
    0.000750        0.000993        0.000993        2.448041          -87.55        4.44        1.51
    0.000800        0.001065        0.001065        2.630160          -87.37        4.80        1.51
    0.000850        0.001136        0.001136        2.813096          -87.19        5.14        1.51
    0.000900        0.001207        0.001207        2.996780          -87.00        5.49        1.51
    0.000950        0.001278        0.001278        3.181153          -86.82        5.83        1.51
    0.001000        0.001348        0.001348        3.366173          -86.63        6.17        1.51
    0.001050        0.001417        0.001417        3.551801          -86.45        6.51        1.51
    0.001100        0.001486        0.001486        3.738009          -86.26        6.85        1.51
    0.001150        0.001555        0.001555        3.924773          -86.08        7.18        1.51
    0.001200        0.001623        0.001623        4.112072          -85.89        7.52        1.51
    0.001250        0.001690        0.001690        4.299891          -85.70        7.85        1.51
    0.001300        0.001757        0.001757        4.488215          -85.51        8.17        1.51
    0.001350        0.001823        0.001823        4.677034          -85.32        8.50        1.51
    0.001400        0.001889        0.001889        4.866337          -85.13        8.82        1.51
    0.001450        0.001955        0.001955        5.056116          -84.94        9.14        1.51
