           k   psiL(deg)        beta       P/P_e(e/2l=0.02)        f/2L
      0.0872    106.8238      1.2791                 0.6631      0.0879
      0.1736     98.8879      1.4253                 0.8234      0.1407
      0.2588     95.7481      1.4943                 0.9050      0.1906
      0.3420     93.9774      1.5462                 0.9689      0.2365
      0.4226     92.7853      1.5954                 1.0315      0.2778
      0.5000     91.8905      1.6477                 1.1003      0.3135
      0.5736     91.1670      1.7064                 1.1801      0.3430
      0.6428     90.5495      1.7742                 1.2758      0.3658
      0.7071     90.0000      1.8541                 1.3932      0.3814
      0.7660     89.5010      1.9220                 1.4972      0.3951
      0.8192     89.0414      2.0056                 1.6301      0.4016
      0.8660     88.6077      2.1079                 1.8008      0.4009
      0.9063     88.1887      2.2340                 2.0227      0.3929
      0.9397     87.7735      2.3911                 2.3172      0.3777
      0.9659     87.3501      2.5902                 2.7192      0.3557
      0.9848     86.9044      2.8469                 3.2848      0.3272
      0.9962     86.4372      3.1677                 4.0668      0.2949
      1.0000     86.1455      3.3918                 4.6624      0.2750
