         X,m      Qy,kgs      Qz,kgs    My,kgs.m    Mz,kgs.m
      0.0000    -31606.7    -31606.7         9.5        -9.5
      0.1250    -31606.7    -31606.7         9.5        -9.5
      0.1250    -31606.7    -31606.7     -3922.4      3922.4
      0.2500    -31606.7    -31606.7     -3922.4      3922.4
      0.2500    -31606.7    -31606.7     -7854.3      7854.3
      0.3750    -31606.7    -31606.7     -7854.3      7854.3
      0.3750    -31606.7    -31606.7    -11786.2     11786.2
      0.5000    -31606.7    -31606.7    -11786.2     11786.2
      0.5000    -31606.7    -31606.7      9407.1     -9407.1
      0.6500    -31606.7    -31606.7      9407.1     -9407.1
      0.6500    -31606.7    -31606.7      4670.1     -4670.1
      0.8000    -31606.7    -31606.7      4670.1     -4670.1
      0.8000    -31606.7    -31606.7       -66.9        66.9
      0.9500    -31606.7    -31606.7       -66.9        66.9
      0.9500    -31606.7    -31606.7     -4803.9      4803.9
      1.1000    -31606.7    -31606.7     -4803.9      4803.9
      1.1000    -31606.7    -31606.7     15643.2    -15643.2
      1.3500    -31606.7    -31606.7     15643.2    -15643.2
      1.3500    -31606.7    -31606.7      7848.3     -7848.3
      1.6000    -31606.7    -31606.7      7848.3     -7848.3
      1.6000     31606.7     31606.7        53.4       -53.4
