                     X,m         mode#1Y(15.4Hz)         mode#1Z(15.4Hz)         mode#2Y(15.4Hz)         mode#2Z(15.4Hz)         mode#3Y(19.2Hz)         mode#3Z(19.2Hz)         mode#4Y(19.2Hz)         mode#4Z(19.2Hz)         mode#5Y(47.1Hz)         mode#5Z(47.1Hz)         mode#6Y(47.1Hz)         mode#6Z(47.1Hz)        mode#7Y(229.9Hz)        mode#7Z(229.9Hz)        mode#8Y(229.9Hz)        mode#8Z(229.9Hz)
                0.000000                0.000000                0.294124               -0.294124                0.000000                0.000000                0.091687                0.091687                0.000000                0.120553                0.000000                0.000000               -0.120553                0.000000                0.245249               -0.245249                0.000000
                0.125000                0.000000                0.267960               -0.267960                0.000000                0.000000                0.107556                0.107556                0.000000                0.085024                0.000000                0.000000               -0.085024                0.000000                0.248717               -0.248717                0.000000
                0.250000                0.000000                0.241731               -0.241731                0.000000                0.000000                0.123402                0.123402                0.000000                0.049463                0.000000                0.000000               -0.049463                0.000000                0.251251               -0.251251                0.000000
                0.375000                0.000000                0.215384               -0.215384                0.000000                0.000000                0.139212                0.139212                0.000000                0.013886                0.000000                0.000000               -0.013886                0.000000                0.254576               -0.254576                0.000000
                0.500000                0.000000                0.188872               -0.188872                0.000000                0.000000                0.154973                0.154973                0.000000               -0.021681                0.000000                0.000000                0.021681                0.000000                0.261622               -0.261622                0.000000
                0.650000                0.000000                0.156919               -0.156919                0.000000                0.000000                0.172888                0.172888                0.000000               -0.053925                0.000000                0.000000                0.053925                0.000000                0.195220               -0.195220                0.000000
                0.800000                0.000000                0.124662               -0.124662                0.000000                0.000000                0.188980                0.188980                0.000000               -0.065304                0.000000                0.000000                0.065304                0.000000                0.046539               -0.046539                0.000000
                0.950000                0.000000                0.091812               -0.091812                0.000000                0.000000                0.203368                0.203368                0.000000               -0.055835                0.000000                0.000000                0.055835                0.000000               -0.103062                0.103062                0.000000
                1.100000                0.000000                0.058096               -0.058096                0.000000                0.000000                0.216218                0.216218                0.000000               -0.025626                0.000000                0.000000                0.025626                0.000000               -0.170744                0.170744                0.000000
                1.350000                0.000000                0.000989               -0.000989                0.000000                0.000000                0.236333                0.236333                0.000000                0.041923                0.000000                0.000000               -0.041923                0.000000               -0.145453                0.145453                0.000000
